Unique ID,Gender,Total Working Experience in Total (Years),Total Working Experience in DE (Years),Current Job Title (or Student / Unemployed),Current Industry,"Educational Background (School - Degree, pls include graduate degrees)",Home Location (City),Work Location (City),What are your primary reason/s for joining the community?,"How can you contribute back to the community? E.g. chat moderator, event organizer, content creator","What activities/events/ learning formats do you prefer? e.g. webinars, articles, workshops, podcasts, github/code, f2f meetups, hackathons, etc.",What topics related to having a career in data and data engineering are you eager to explore?,What are the biggest challenges in having a career in data and data engineering for you?,What is your preferred frequency of engagement?,"Besides Facebook Group, do you have other preferred communication channels? e.g. email, Tiktok, Discord, etc.",What's your overall feedback and comments for the community?
001,Female,2,1.5,Data Engineer,Advertising,University of the Philippines Diliman - BS Applied Physics,Caloocan,Mandaluyong,To be updated with the DE field in the Philippines through interaction with professionals and those who aspired to be data engineers,Create publication materials,"GitHub, workshops, hackathons","Different kinds of databases (e.g. graph, vector)","Personally, having no foundations on devops or dataops or code best practices which are usually learned when you have a bs comsci as undergrad degree","Monthly, Quarterly",Discord,"We can create a discord community where we can organise threads for specific topics (e.g. job posts, code questions, intro, gaming, org-ideas, etc)."
002,Male,20,0,Data Analyst,BPO,BS ECE,Pampanga,"Ortigas, Pasig",Learn how to shift to DE,Event Organizer,"Webinars , f2f",Analytics Engineering & BI Engineering,DE roadmap with real life use case project,Weekly,Discord,Very helpful
003,Female,2,2,Application Development Analyst,IT,UPLB - BS Civil Engineering,"General Trias, Cavite",Taguig City,To know more ideas about DE,Can't think of anything now,Workshops/f2f meetups,Have no idea for now,Not enough knowledge on languages used in DE,Weekly,"Discord, Email",Great community!
004,Female,6,2,Head of Data and Analytics,Financial Services,Ateneo de Manila University - BS/M Applied Mathematics Major in Mathematical Finance,Cavite,Makati,Stay updated and meet co-DEs,"Event organizer, speaker",F2F meetups,Big data and quantum computing,Lack of mentorship,Weekly,"Email, Viber",Great start! To have a DE community :) Hope to be able to leverage this community and contribute more!
005,M,38,12,Business Intelligence dev (retired),Power,BS Biological Sciences,Bacoor City,Bacoor City,Keep abreast of technology,participating in discussions where my experience apply.,webinars,Orchestration.,ERP data migration if that falls under DE,Weekly,"email, linkedin","Vibrant community, energized by an eager core of subject matter experts and highly supported by active admins and moderators."
006,Female,3,0,Associate Software Engineer,IT,Saint Louis University - BS Chemical Engineering,Pangasinan,Metro Manila,I wanted to transition to data engineering,Chat moderator,"Workshops, github/code","Data prep, ETL development, batch/streaming processing","Right now, transitioning and upskilling is a challenge bec I'm a mom eith a full time work",Monthly,Discord,I get a lot of insight about where I should focus on during this transition period
007,Female,0,0,Unemployed,Welding,BS Mechanical Engineering,Bicol,Manila,Just want to join Filipino Tech Community groups,"I honestly don't have any background with DE. idk how can i contribute, but i can help.",webinars,how does data engineering affects the world,not having experience,Weekly,discord,i hope more people can join and learn more about the DE and DE community. Thanks for the initiatives in creating this group.
008,Male,5,1.5,Data Engineer,Manufacturing,"BS in Indistrial engineering
MEng in AI (ONGOING)",Laguna,Makati (WFH),Find mentors and contribute to building great Filipino DEs,"Coaching, contents",All,Data architecture,Creating the big why's of a data project,Monthly,Discord,"Good start, filter posts"
009,Male,0,0,Student,N/A,Diploma in Mechanical Engineering Technology,Santa Rosa,N/A,To learn Data Engineering,Share what I know,"Hackathon, Webinar",Everything,"No mentor, Dont know where to start",Daily,Email,Highly recommended
010,Male,2,1,Sr. Growth Manager - Data Analytics,E-Commerce,DLSU - Marketing,Manila,Manila,"To learn, network, and share",content creator/share experiences,"coding sessions, meetups and networking","Data Modeling, Analytics Engineering, Data Pipelining, Applying CI/CD; Software Engineering",Transitioning from Analyst to Engineer without a mentor; only data guy in the company,Quarterly,discord,"Helping out aspirants/beginners is great, need more interaction between people in the field"
011,Male,29,0,Customer Service/Refocus student,BPO,Vocational course,Quezon City,Quezon City,To gain more knowledge in Programming,Chat moderator,Workshop and webinars,Programming,Information overload,Quarterly,Discord,Informative
012,Male,1,0,Automation Consultant,Information Technology,TVL-ICT Computer Programming NC IV,Daet,Makati,To learn and connect with experienced Data Engineers,By participating to events or activities,"Hackathons, articles, tutorials, advice, and guidance","Where to start to become a Data engineer, what tools/roadmap needed to learn, advices for interviews and companies that offers a job",Finding jobs in data jobs and how to start in data engineering.,"Monthly, Quarterly","Discord, LinkedIn","Good to know that there are many experts guiding the new ones in data jobs, keep it up."
013,Male,4,None,Theat Monitoring Engineer,Cybersecurity,BS in Information Technology Major in Network Administration,Calumpit Bulacan,Pasig City,"Gain knowledge and ideas from others, considering change of career.",Content Creation,Webinar,"Significance of data in organization. How Data Engineers works on massive of data, how they manage etc.",As of now I dont know. I still learning data engineer at the moment,"Daily, Weekly, Monthly","Reddit, Discord, Email,","Data Community is great, I hope we both learn to each other and keep this community grow more."
014,Male,7,5,IT MANAGER,Insurance,Bachelors Degree,Manila,Mandaluyong,Learn more about Data Engineering,Chat moderator,"Meetups, workshops",Data security,Security,Weekly,Email,Looking forward for more learning and mentorship
015,Male,15,0,Operation Manager,Agriculture Cooperative,Associate Degree in Computer System Design and Programming,Santo Domingo,Santo Domingo,To deep dive in Data Analytics Profession,Chat Moderator,Webinars,"Cloud Computing, Visualization",Transition to a new Career in Data Analytics,Daily,Discord,thanks for this
016,Male,13,0,BI Analyst,BPO,Bicol University - BS Chemical Engineering,San Jose del Monte,Pasig,To become a DE,Content creator,All are good,Macjine Learning and Analytics,Newbie,"Daily, Weekly, Monthly, Annual","Email, discord",Great
